id_topics,words
0,"0.010*""price"" + 0.009*""home"" + 0.008*""work"" + 0.007*""place"" + 0.007*""liberals"" + 0.007*""pay"" + 0.007*""service"" + 0.006*""days"" + 0.005*""sick"" + 0.005*""public"" + 0.005*""pcl"" + 0.005*""plan"" + 0.005*""israel"" + 0.005*""canada"" + 0.005*""indeed"" + 0.005*""disability"" + 0.005*""short"" + 0.005*""term"" + 0.003*""franchise"" + 0.003*""grind"" + 0.003*""alberta"" + 0.003*""industry"" + 0.003*""responsible"" + 0.003*""arabs"" + 0.003*""five"" + 0.003*""government"" + 0.003*""liberal"" + 0.003*""example"" + 0.003*""profit"" + 0.003*""usa"""
1,"0.017*""sick"" + 0.012*""work"" + 0.012*""support"" + 0.011*""days"" + 0.009*""israel"" + 0.009*""vote"" + 0.008*""government"" + 0.008*""public"" + 0.007*""year"" + 0.007*""party"" + 0.007*""ill"" + 0.007*""pay"" + 0.007*""globe"" + 0.006*""harper"" + 0.006*""canadians"" + 0.006*""wing"" + 0.006*""ndp"" + 0.005*""encourage"" + 0.005*""bank"" + 0.005*""reason"" + 0.005*""architects"" + 0.005*""comment"" + 0.005*""serious"" + 0.005*""class"" + 0.004*""tax"" + 0.003*""home"" + 0.003*""article"" + 0.003*""policy"" + 0.003*""worst"" + 0.003*""world"""
2,"0.011*""read"" + 0.009*""government"" + 0.009*""tax"" + 0.008*""report"" + 0.006*""time"" + 0.006*""canada"" + 0.006*""carbon"" + 0.006*""behind"" + 0.006*""business"" + 0.005*""minister"" + 0.005*""project"" + 0.005*""foreign"" + 0.005*""economy"" + 0.005*""development"" + 0.005*""fund"" + 0.005*""political"" + 0.005*""corrupt"" + 0.005*""revenue"" + 0.004*""keep"" + 0.004*""canadians"" + 0.003*""work"" + 0.003*""things"" + 0.003*""information"" + 0.003*""reform"" + 0.003*""ones"" + 0.003*""average"" + 0.003*""blame"" + 0.003*""dollars"" + 0.003*""nobody"" + 0.003*""shop"""
3,"0.027*""government"" + 0.009*""liberal"" + 0.007*""create"" + 0.007*""work"" + 0.007*""staff"" + 0.005*""party"" + 0.005*""benefit"" + 0.005*""point"" + 0.005*""dislike"" + 0.005*""team"" + 0.005*""plan"" + 0.005*""way"" + 0.005*""wealth"" + 0.005*""problem"" + 0.005*""pay"" + 0.005*""sick"" + 0.004*""members"" + 0.004*""workers"" + 0.004*""harper"" + 0.004*""canada"" + 0.004*""pension"" + 0.004*""time"" + 0.004*""system"" + 0.004*""afford"" + 0.004*""oil"" + 0.004*""foreign"" + 0.004*""whether"" + 0.004*""mention"" + 0.004*""facts"" + 0.004*""course"""
4,"0.023*""foreign"" + 0.022*""aid"" + 0.013*""policy"" + 0.011*""harper"" + 0.007*""train"" + 0.007*""enbridge"" + 0.007*""skills"" + 0.007*""replace"" + 0.006*""canada"" + 0.006*""cida"" + 0.006*""development"" + 0.006*""party"" + 0.005*""point"" + 0.005*""job"" + 0.005*""course"" + 0.005*""budget"" + 0.005*""money"" + 0.004*""reason"" + 0.004*""deputy"" + 0.004*""businesses"" + 0.004*""governments"" + 0.004*""canadian"" + 0.004*""maintain"" + 0.004*""minister"" + 0.004*""stein"" + 0.004*""start"" + 0.004*""simply"" + 0.004*""way"" + 0.003*""work"" + 0.003*""head"""
5,"0.029*""number"" + 0.028*""average"" + 0.024*""median"" + 0.014*""type"" + 0.010*""set"" + 0.010*""israel"" + 0.010*""math"" + 0.007*""east"" + 0.007*""promise"" + 0.007*""middle"" + 0.007*""half"" + 0.007*""thing"" + 0.007*""fully"" + 0.004*""interest"" + 0.004*""chretien"" + 0.004*""public"" + 0.004*""harper"" + 0.004*""dollars"" + 0.004*""problem"" + 0.004*""similiar"" + 0.004*""rainieromg"" + 0.004*""book"" + 0.004*""items"" + 0.004*""notmedian"" + 0.004*""divide"" + 0.004*""pick"" + 0.004*""higher"" + 0.004*""total"" + 0.004*""close"" + 0.004*""lower"""
6,"0.021*""plan"" + 0.018*""pension"" + 0.013*""private"" + 0.012*""tax"" + 0.011*""sector"" + 0.010*""fund"" + 0.008*""period"" + 0.008*""budget"" + 0.007*""retirement"" + 0.007*""oas"" + 0.007*""business"" + 0.006*""joannie"" + 0.006*""pay"" + 0.006*""fiveyear"" + 0.006*""cut"" + 0.006*""payroll"" + 0.005*""government"" + 0.005*""money"" + 0.005*""base"" + 0.005*""canada"" + 0.005*""benefit"" + 0.005*""care"" + 0.005*""total"" + 0.005*""largest"" + 0.005*""billion"" + 0.005*""decline"" + 0.005*""deductions"" + 0.004*""public"" + 0.004*""happen"" + 0.004*""increase"""
7,"0.020*""sector"" + 0.019*""public"" + 0.009*""work"" + 0.008*""cost"" + 0.008*""job"" + 0.007*""government"" + 0.007*""foreign"" + 0.007*""private"" + 0.006*""tax"" + 0.005*""service"" + 0.005*""workers"" + 0.005*""time"" + 0.005*""pay"" + 0.005*""program"" + 0.005*""state"" + 0.005*""policy"" + 0.004*""house"" + 0.004*""fund"" + 0.004*""cut"" + 0.004*""dollar"" + 0.004*""minister"" + 0.004*""social"" + 0.004*""design"" + 0.004*""others"" + 0.004*""sick"" + 0.004*""system"" + 0.003*""employees"" + 0.003*""canadian"" + 0.003*""waste"" + 0.003*""read"""
8,"0.024*""benefit"" + 0.023*""pay"" + 0.023*""pension"" + 0.019*""sector"" + 0.017*""market"" + 0.015*""private"" + 0.012*""workers"" + 0.012*""public"" + 0.010*""plan"" + 0.009*""service"" + 0.009*""bargain"" + 0.009*""define"" + 0.008*""work"" + 0.007*""union"" + 0.007*""government"" + 0.007*""open"" + 0.006*""ontario"" + 0.006*""unions"" + 0.006*""deserve"" + 0.006*""problem"" + 0.005*""teachers"" + 0.005*""taxpayer"" + 0.005*""employees"" + 0.005*""labour"" + 0.005*""wealth"" + 0.004*""big"" + 0.004*""average"" + 0.004*""negotiate"" + 0.004*""job"" + 0.004*""employer"""
9,"0.028*""jewish"" + 0.020*""israel"" + 0.012*""homeland"" + 0.012*""israels"" + 0.011*""market"" + 0.011*""time"" + 0.009*""job"" + 0.009*""jews"" + 0.008*""land"" + 0.008*""exist"" + 0.008*""accept"" + 0.007*""state"" + 0.007*""ancestral"" + 0.007*""conflict"" + 0.007*""community"" + 0.005*""party"" + 0.005*""obama"" + 0.005*""pay"" + 0.005*""muslimarabs"" + 0.005*""racist"" + 0.005*""war"" + 0.004*""start"" + 0.004*""eretz"" + 0.004*""past"" + 0.004*""course"" + 0.004*""equal"" + 0.004*""middle"" + 0.004*""historic"" + 0.004*""northern"" + 0.004*""free"""
10,"0.018*""israel"" + 0.011*""harper"" + 0.010*""land"" + 0.008*""plan"" + 0.007*""jews"" + 0.005*""government"" + 0.005*""start"" + 0.005*""mention"" + 0.005*""jewish"" + 0.004*""detail"" + 0.004*""way"" + 0.004*""year"" + 0.004*""peace"" + 0.004*""usa"" + 0.004*""bill"" + 0.004*""budget"" + 0.004*""vote"" + 0.004*""mms"" + 0.004*""home"" + 0.004*""zionisms"" + 0.004*""move"" + 0.004*""civilization"" + 0.004*""judaism"" + 0.004*""israeli"" + 0.004*""canada"" + 0.004*""war"" + 0.004*""tax"" + 0.003*""program"" + 0.003*""lie"" + 0.003*""crime"""
11,"0.016*""public"" + 0.009*""sick"" + 0.008*""sector"" + 0.008*""service"" + 0.007*""pay"" + 0.007*""sweep"" + 0.007*""private"" + 0.005*""palestinians"" + 0.005*""support"" + 0.005*""arab"" + 0.005*""level"" + 0.004*""work"" + 0.004*""middle"" + 0.004*""state"" + 0.004*""israel"" + 0.004*""side"" + 0.004*""way"" + 0.004*""lie"" + 0.004*""disability"" + 0.004*""cancer"" + 0.004*""view"" + 0.004*""entitlements"" + 0.004*""product"" + 0.004*""worth"" + 0.004*""skew"" + 0.004*""generalization"" + 0.004*""exploit"" + 0.004*""compare"" + 0.004*""average"" + 0.004*""lose"""
12,"0.018*""work"" + 0.011*""canada"" + 0.007*""harper"" + 0.007*""govt"" + 0.007*""government"" + 0.006*""time"" + 0.005*""pay"" + 0.005*""break"" + 0.005*""ministries"" + 0.005*""labour"" + 0.005*""job"" + 0.005*""ability"" + 0.005*""oil"" + 0.005*""way"" + 0.005*""true"" + 0.005*""policies"" + 0.005*""destroy"" + 0.005*""grow"" + 0.004*""union"" + 0.004*""racist"" + 0.004*""jewish"" + 0.004*""kitimat"" + 0.004*""affiars"" + 0.004*""party"" + 0.004*""behind"" + 0.004*""plan"" + 0.004*""change"" + 0.004*""energy"" + 0.004*""foreign"" + 0.004*""fiberals"""
13,"0.014*""article"" + 0.012*""pay"" + 0.012*""sector"" + 0.009*""read"" + 0.009*""private"" + 0.008*""bank"" + 0.007*""job"" + 0.007*""civil"" + 0.007*""level"" + 0.006*""believe"" + 0.006*""earn"" + 0.006*""canada"" + 0.006*""time"" + 0.006*""post"" + 0.006*""happen"" + 0.006*""build"" + 0.006*""start"" + 0.005*""vision"" + 0.005*""cut"" + 0.004*""government"" + 0.004*""service"" + 0.004*""jim"" + 0.004*""corporations"" + 0.004*""harper"" + 0.004*""justice"" + 0.004*""party"" + 0.004*""answer"" + 0.004*""fact"" + 0.004*""entry"" + 0.004*""state"""
