,entity,tag
0,EJSscraba,B-PER
1,Victoria,I-PER
2,ELIMINATED,B-PER
3,immediately,I-PER
4,Canadian,B-PER
5,value,I-PER
6,Keep,B-PER
7,job,I-PER
8,Better,B-ORG
9,Business,I-ORG
10,Bureau,I-ORG
11,job,B-PER
12,CANADIANS,I-PER
13,soon,B-PER
14,way,I-PER
15,John,B-PER
16,Ibbitson,I-PER
17,money,B-PER
18,Provinces,I-PER
19,work,B-PER
20,Cratchett,I-PER
21,Fibulously,B-ORG
22,good,I-ORG
23,Syd,B-PER
24,Ryan,I-PER
25,Thanks,B-PER
26,share,I-PER
27,Canadians,B-MISC
28,Canadians,B-MISC
29,CFIB,B-ORG
30,sick,B-PER
31,days,I-PER
32,Canadian,B-PER
33,taxpayer,I-PER
34,gym,B-PER
35,mall,I-PER
36,FORCED,B-LOC
37,sick,I-LOC
38,many,B-PER
39,sick,I-PER
40,sick,B-PER
41,days,I-PER
42,Canadians,B-MISC
43,fundsTHE,B-MISC
44,TAX,B-PER
45,PAYER,I-PER
46,Public,B-LOC
47,Servant,I-LOC
48,dollar,I-LOC
49,AS,B-LOC
50,salary,I-LOC
51,Ill,B-LOC
52,Entitlements,B-MISC
53,Stop,B-ORG
54,jealous,I-ORG
55,slave,I-ORG
56,seriously,B-PER
57,ill,I-PER
58,slightly,B-PER
59,smaller,I-PER
60,Man,B-PER
61,Blues,I-PER
62,Govt,B-LOC
63,math,I-LOC
64,anyway,I-LOC
65,save,B-PER
66,options,I-PER
67,DANDON,B-ORG
68,Hope,B-PER
69,Enter,I-PER
70,Tom,B-PER
71,Selleck,I-PER
72,sectorMEDIAN,B-LOC
73,sense,I-LOC
74,idea,B-PER
75,pay,I-PER
76,sector,B-PER
77,tax,I-PER
78,pay,B-PER
79,tax,I-PER
80,Bravo,B-ORG
81,Roger,I-ORG
82,like,I-ORG
83,Margaret,B-LOC
84,itNO,B-LOC
85,Kinda,B-ORG
86,like,I-ORG
87,CFIB,I-ORG
88,labour,B-PER
89,law,I-PER
90,market,B-PER
91,otherExactly,I-PER
92,mind,B-PER
93,dear,I-PER
94,pay,B-PER
95,tollYup,I-PER
96,Greece,B-ORG
97,Spain,I-ORG
98,Portugal,I-ORG
99,Iceland,B-ORG
100,Ireland,I-ORG
101,Portugal,I-ORG
102,Looks,B-PER
103,good,I-PER
104,tax,B-LOC
105,anyway,I-LOC
106,Canadians,B-MISC
107,learn,B-PER
108,Albertans,I-PER
109,Conservatives,B-PER
110,dream,I-PER
111,Stupidity,B-PER
112,Plan,I-PER
113,Canadian,B-PER
114,school,I-PER
115,tax,B-PER
116,shelter,I-PER
117,Almost,B-PER
118,HarperFlaherty,I-PER
119,Alabama,B-PER
120,ArizonaAlbertalets,I-PER
121,Harpers,B-PER
122,plan,I-PER
123,sector,B-PER
124,deal,I-PER
125,door,B-PER
126,nail,I-PER
127,Harperland,B-MISC
128,Ill,B-LOC
129,listen,I-LOC
130,expansion,B-PER
131,stop,I-PER
132,Ridge,B-PER
133,Rupert,I-PER
134,skewer,B-PER
135,END,I-PER
136,like,B-PER
137,Alberta,I-PER
138,much,B-PER
139,Harper,I-PER
140,lay,B-PER
141,sir,I-PER
142,Sleeze,B-PER
143,King,I-PER
144,Nations,B-PER
145,lie,I-PER
146,Albertans,B-PER
147,Easterns,I-PER
148,Gary,B-PER
149,Mason,I-PER
150,Grope,B-PER
151,Flail,I-PER
152,like,B-PER
153,Pathetic,I-PER
154,Cdn,B-LOC
155,media,I-LOC
156,start,B-PER
157,CIDA,I-PER
158,idea,B-PER
159,talk,I-PER
160,month,B-PER
161,Ill,I-PER
162,CIDA,B-LOC
163,folks,I-LOC
164,Stupid,B-PER
165,stupid,I-PER
166,GST,B-LOC
167,play,I-LOC
168,later,B-PER
169,year,I-PER
170,Harper,B-PER
171,Post,I-PER
172,dinners,B-PER
173,Sweet,I-PER
174,Globe,B-PER
175,Mail,I-PER
176,CEAP,B-LOC
177,money,I-LOC
178,squareApologies,B-PER
179,Pope,I-PER
180,apart,B-PER
181,seam,I-PER
182,accuse,B-PER
183,askin,I-PER
184,pay,B-PER
185,March,I-PER
186,Israelis,B-PER
187,antiIsrael,I-PER
188,Israel,B-ORG
189,Judaism,I-ORG
190,Israel,B-ORG
191,Judaism,I-ORG
192,knowledge,B-PER
193,Arabic,I-PER
194,Tom,B-PER
195,Obamaberg,I-PER
196,regimes,B-PER
197,Europe,I-PER
198,Israelis,B-PER
199,join,I-PER
200,Palestinians,B-PER
201,along,I-PER
202,Palestinian,B-PER
203,state,I-PER
204,Useful,B-PER
205,Idiot,I-PER
206,Israel,B-LOC
207,pose,I-LOC
208,work,B-PER
209,CIDA,I-PER
210,Gerry,B-PER
211,Helleiner,I-PER
212,ammo,B-PER
213,AKs,I-PER
214,Traitor,B-PER
215,Canada,I-PER
216,solve,B-PER
217,soil,I-PER
218,like,B-PER
219,Baird,I-PER
220,Terri,B-ORG
221,Schiavo,I-ORG
222,type,I-ORG
223,average,B-PER
224,Canadian,I-PER
225,war,B-PER
226,soon,I-PER
227,milk,B-PER
228,speak,I-PER
229,marry,B-PER
230,type,I-PER
231,gay,B-PER
232,ones,I-PER
233,NeoCons,B-ORG
234,Canada,I-ORG
235,Iran,B-PER
236,Israel,I-PER
237,Fathers,B-ORG
238,optional,I-ORG
239,sex,I-ORG
240,Que,B-ORG
241,tonto,I-ORG
242,among,B-PER
243,DemsDeal,I-PER
244,Case,B-PER
245,dismiss,I-PER
246,like,B-PER
247,math,I-PER
248,tax,B-ORG
249,expense,I-ORG
250,GST,I-ORG
251,Sadly,B-PER
252,Canada,I-PER
253,Conversative,B-PER
254,Liberal,I-PER
255,Yucky,B-PER
256,Harper,I-PER
257,Boy,B-LOC
258,Trudeau,I-LOC
259,CampPun,B-LOC
260,Intended,I-LOC
261,Ontarrio,B-LOC
262,amount,I-LOC
263,tax,I-LOC
264,add,B-PER
265,upGood,I-PER
266,tar,B-PER
267,sand,I-PER
268,usIts,B-LOC
269,time,I-LOC
270,tax,B-PER
271,GSTHST,I-PER
272,Corporate,B-LOC
273,Canada,I-LOC
274,next,I-LOC
275,GST,B-LOC
276,system,I-LOC
277,Chris,B-ORG
278,different,I-ORG
279,Liberals,I-ORG
280,Prime,B-LOC
281,Minster,I-LOC
282,Simpson,B-LOC
283,analysis,I-LOC
284,tax,B-LOC
285,spend,I-LOC
286,allAmen,B-LOC
287,Harper,B-LOC
288,Start,B-ORG
289,top,I-ORG
290,line,B-PER
291,Hmmmm,I-PER
292,read,B-PER
293,Liberals,I-PER
294,manDr,B-ORG
295,Wilhelm,I-ORG
296,von,I-ORG
297,Siemens,I-ORG
298,Way,B-LOC
299,Art,I-LOC
300,money,B-PER
301,Wasted,I-PER
302,Link,B-ORG
303,HogbrowLOLall,I-ORG
304,Cheers,I-ORG
305,Robin,B-PER
306,Victoria,I-PER
307,Lol,B-ORG
308,Welland,I-ORG
309,nut,B-PER
310,old,I-PER
311,Including,B-LOC
312,Wente,I-LOC
313,iPhone,B-PER
314,McMansion,I-PER
